English Word/Phrase,Ukrainian Translation
undermine confidence,підірвати впевненість
due to the lack of focus,через нестачу зосередженості
coincide,"збігатися, бути однаковим"
information fatigue,інформаційна втома
convey,"передати, виражати"
convey the message,передати повідомлення
encounter,"зустріти, стикнутися"
to pinpoint,"точно визначити, з’ясувати"
to reference this feeling,посилатися на це почуття
input,"вводити, вхідні дані"
to be bogged down,загрузнути
to process,"обробляти, опрацьовувати правду"
harmless,нешкідливий
absorb,"поглинати, вбирати"
we are able to access information,ми можемо отримати доступ до інформації
constantly,"безперервно, постійно"
destructive,"руйнівний, шкідливий"
ponder,"замислюватися, міркувати"
zap you out,вивести тебе
four-letter word,лайливе слово
colossal implications,колосальні наслідки
to outline,"окреслювати, основні риси"
sustainability,стійкість
ethics,етика
curriculum,"курс навчання, розклад"
to carve out,вирізати
alongside,"поруч, пліч-о-пліч"
to thrive,"процвітати, розвиватися"
key enablers,ключові активатори
to accelerate,"прискорювати, розганяти"
self-paced,самостійний темп
self-directed,самокерований
span,"інтервал, перекривати"
tension span,напружений інтервал
bite-sized,"маленький, зручний"
augment reality,доповнена реальність
pursue,"переслідувати, продовжувати"
to enhance,"збільшувати, покращувати"
to cultivate,"вирощувати, обробляти"
an exam,іспит
pursuing,"переслідування, прагнення"
retrieve,"повернути собі, отримати"
to discard,"відкидати, відмовлятися"
to retain,"залишати, зберігати"
sharp mind,гострий розум
memory retention,утримання пам’яті
consistently,послідовно
consolidate,"зміцнювати, об’єднувати"
proper hydration,правильне зволоження
retrieve,"отримати, повернути собі"
encode,"кодувати, шифрувати"
repetition,повторення
mnemonic,мнемонічний
lyrics,тексти пісень
chunking,подрібнення
chunk,"шматок, порція"
to space out,"віддалити, розподілити"
cramming,"зубріння, напихання"
reinforce,"зміцнювати, підкріплювати"
retention,"утримання, збереження"
retrieval,"пошук, відновлення"
get to,мати можливість зробити щось
ease stress levels,знизити рівень стресу
strengthen,зміцнити
work at its best,працювати найкраще
take advantage of technology,використовувати технології
reinforce learning,підкріпити навчання
commit it to memory,запам’ятати
recall,згадати
retain/memorize,зберігати інформацію
retention ability,здатність запам’ятовувати
pursuing a dream,переслідування мрії
pursuit,прагнення
space repetition,інтервальне повторення
remind,нагадувати
speaking of me,говорячи про мене
as for me,що стосується мене
take advantage of,скористатися
pursue,переслідувати
enhance,покращувати
beauty at its best,краса в найкращому вигляді
cultivate,культивувати
reinforce,зміцнювати
conscious,свідомий
decision,рішення
effort,зусилля
behaviour,поведінка
thinking,мислення
choice,вибір
recall,"згадувати (слова, моменти, дату)"
scientists say,вчені кажуть
cultivating responsibility,виховання відповідальності
environment,довкілля
necessary skill,необхідна навичка
modern world,сучасний світ
not satisfied,не задоволені
pursuing career,переслідування кар’єри
open-minded people,відкриті люди
creativity at its best,креативність на найвищому рівні
kindness at its best,доброта на найвищому рівні
self-love,любов до себе
to retain facts easily,легко запам’ятовувати факти
retain,"зберігати, утримувати"
dignity,гідність
throughout,протягом
performance,виступ
learning English,вивчення англійської
memorizing things,запам’ятовування речей
precision,точність
approach,"наближення, підхід, переговори"
