English Word/Phrase,Ukrainian Translation,Lesson
to retain control of the company,зберігати контроль над компанією,General
to undermine confidence,підривати довіру,General
due to the lack of focus,через брак фокусу,General
to coincide,збігатися,General
information fatigue,інформаційна втома,General
to convey messaging,передавати повідомлення,General
to encounter,зустрічати (випадково),General
to pinpoint,точно визначити,General
to reference this feeling,посилатися на це відчуття,General
to consume,споживати,General
input,введення,General
to be bogged down,застрягнути,General
to process,обробляти,General
harmless,нешкідливий,General
to absorb,поглинати,General
we are able to access information,ми маємо доступ до інформації,General
constantly,постійно,General
destructive,руйнівний,General
to ponder,розмірковувати,General
to zap you out,виснажити тебе,General
four-letter word,лайливе слово,General
colossal implications,колосальні наслідки,General
to point out,вказати,General
weird (bumpy),дивний (нерівний),General
to unplug,відключити,General
doomsday scenario,сценарій кінця світу,General
firmly believe,твердо вірити,General
to overload yourself,перевантажувати себе,General
to lower,опускати,General
to recuperate,відновлюватися,General
to reset,скидати,General
guidelines,вказівки,General
wasteful,марнотратний,General
to be short-sighted,бути короткозорим,General
tempo,темп,General
nook,куточок,General
cranny,щілина,General
extent,ступінь,General
to the fullest extent,повною мірою,General
enough is enough,усього є межа,General
severe,суворий,General
every nook and cranny,кожен куточок,General
overwhelmed,перевантажений,General
convey,передавати (думку/відчуття),Communication
in this day and age,у наші дні,General
well-being,добробут,Well-being
emotional well-being,емоційний добробут,Well-being
physical well-being,фізичний добробут,Well-being
social well-being,соціальний добробут,Well-being
personal well-being,особистий добробут,Well-being
financial well-being,фінансовий добробут,Well-being
neglected,занедбаний,General
long-term consistency,тривала стабільність,Consistency
serious health consequences,серйозні наслідки для здоров'я,Health
after having some stress,після певного стресу,Stress
ponder your next move,обміркуйте свій наступний крок,General
ponder the future,роздумувати про майбутнє,General
experience firsthand how the modeling works,дізнатися на власному досвіді як працює моделювання,Modeling
every cloud had a silver lining,немає лиха без добра,Idioms
indulge,давати волю,General
attention span,тривалість уваги,General
we are bogged down in,ми загрузли в,General
solving puzzles,вирішення головоломок,General
burst of information,сплеск інформації,General
exacerbate,загострювати,General
willpower,сила волі,General
maintain well-being,підтримувати добробут,Well-being
enhance well-being,покращувати добробут,Well-being
improve well-being,покращувати добробут,Well-being
regular physical activity can significantly improve well-being,регулярна фізична активність може значно покращити добробут,Well-being
affect well-being,впливати на добробут,Well-being
promote well-being,сприяти добробуту,Well-being
boost well-being,підвищувати добробут,Well-being
support well-being,підтримувати добробут,Well-being
threaten well-being,загрожувати добробуту,Well-being
prioritize well-being,надавати пріоритет добробуту,Well-being
neglect well-being,нехтувати добробутом,Well-being
ignoring your emotional needs means neglecting your well-being,ігнорування ваших емоційних потреб означає нехтування вашим добробутом,Well-being
reflecting your well-being,відображаючи ваш добробут,Well-being
regain,відвоювати (знову повернути),General
regain focus,повернути фокус,Focus
regain power,повернути владу,General
regain ability to walk,відновити здатність ходити,General
regain flexibility,відновити гнучкість,General
regain financial independence,відновити фінансову незалежність,General
regain digital stimulation,відновити цифрову стимуляцію,General
 influx of tourists,наплив туристів,General
influx of tasks,наплив завдань,Work
influx of responsibilities,наплив обов'язків,Work
contempt,презирство,General
consumption,споживання,General
willpower to put the phone down,сила волі щоб відкласти телефон,Willpower
willpower to pursue goal,сила волі для досягнення мети,Willpower
willpower to do not indulge in chocolate,сила волі щоб не захоплюватися шоколадом,Willpower
willpower to continue training,сила волі щоб продовжувати тренування,Willpower
abundance of,достаток чогось,General
abundance of information,достаток інформації,General
abundance of sugar in food,надлишок цукру в їжі,General
abundance of working place,надлишок робочих місць,General
abundance of useless courses,надлишок марних курсів,General
sustain,підтримувати,General
curb,обмежувати (стримувати),General
increase presence,збільшити присутність,General
escapism - the tendency to seek distraction and relief from unpleasant reality,ескапізм - тенденція шукати відволікання та полегшення від неприємної реальності,Psychology
annual checkup,щорічний огляд,Health
overlooked,непомічений,General
foster,плекати (сприяти розвитку),General
foster a sense of endless content consumption,сприяти відчуттю нескінченного споживання контенту,General
foster long-term memory,сприяти тривалій пам'яті,Memory
foster healthy lifestyle,сприяти здоровому способу життя,Health
foster immune system,сприяти імунній системі,Health
foster financial stability,сприяти фінансовій стабільності,Finance
exacerbate (izazadeit),загострювати,General
exacerbate memory,погіршувати пам'ять,Memory
exacerbate the problem,загострити проблему,General
exacerbate panic attack,загострити панічну атаку,Health
exacerbate disease,загострити хворобу,Health
exacerbate negative feelings,загострити негативні почуття,Health
tackle,енергійно братися (справлятися),General
tackle projects,братися за проекти,Work
tackle new opportunities,братися за нові можливості,General
tackle life challenges,справлятися з життєвими викликами,General
tackle bankruptcy,справлятися з банкрутством,Finance
bursts of,спалахи чогось,General
bursts of information,сплески інформації,General
bursts of sun energy,спалахи сонячної енергії,General
bursts of hope,спалахи надії,General
boundaries,межі (кордони),General
take advantage of you,використовувати вас,General
lately I haven't been using video calls,останнім часом я не використовувал відеодзвінки,General
we have more clues,ми маємо більше підказок,General
we are going through tough/rough time and video calls might be the only resort,ми переживаємо важкі часи і відеодзвінки можуть бути єдиним виходом,General
cast away,відкинутий,General
we are cast away,ми відкинуті,General
drifting apart,віддалятися один від одного,General
help = enable,допомогти (дати можливість),General
that is foxy,це хитро,General
overlook = neglect,нехтувати,General
What might you expect them to include?,Що ви очікуєте від них?,General
pros,плюси,General
cons,мінуси,General
to tired out,втомитися,General
to apply,застосовувати,General
apply equally well,застосовувати однаково добре,General
pitch of voice,висота голосу,General
non-verbal cues,невербальні підказки,Communication
to strengthen bonds,зміцнювати зв'язки,General
exacerbate division,посилити поділ,General
strained relationship,напружені стосунки,General
to ease stress,зменшити стрес,Stress
assignment writing,написання завдання,Work
be down to the wire,робити в останню хвилину,General
submission deadline,термін подачі,Work
distractions,відволікання,General
establish a proper routine,встановити правильний розпорядок,General
